"Region","Year","Under-five population","Infant population","Population coverage (under 5)","Population coverage (age 0)","U5MR median","IMR median","CMR median","Under-five deaths median","Infant deaths median","Child deaths median"
"Oceania (exc. Australia and New Zealand)","1962","423917","236034","0","0",,,,,,
"Australia and New Zealand","1962","1329227","681416","0","0",,,,,,
"Europe, Northern America, Australia and New Zealand","1962","78038384","40101085","0","0",,,,,,
"South-Eastern Asia and Oceania (exc. Australia and New Zealand)","1962","29330060","16419135","0","0",,,,,,
"World","1962","371794582","200949747","0.9","0.9",,,,,,
"Least developed countries","1963","33262100","18147780","32.53","32.85",,,,,,
"Landlocked developing countries","1963","17686282","9650538","6.87","6.8",,,,,,
"Small island developing States","1963","3505962","1912534","0.89","0.95",,,,,,
"Europe and Northern America","1963","77594005","39877711","0","0",,,,,,
"Northern America","1963","21347094","11244077","0","0",,,,,,
"Europe","1963","56246911","28633634","0","0",,,,,,
"Latin America and the Caribbean","1963","31196160","16911616","0","0",,,,,,
"Central and Southern Asia","1963","84418745","46105349","15.71","16.01",,,,,,
"Central Asia","1963","3168901","1794347","0","0",,,,,,
"Southern Asia","1963","81249844","44311002","16.32","16.66",,,,,,
"Eastern and South-Eastern Asia","1963","139012112","74822393","9.06","9.49",,,,,,
"Eastern Asia","1963","108805921","57988594","0","0",,,,,,
"South-Eastern Asia","1963","30206191","16833799","41.7","42.19",,,,,,
"Northern Africa and Western Asia","1963","18329870","10021575","0","0",,,,,,
"Western Asia","1963","9016192","4906492","0","0",,,,,,
"Northern Africa","1963","9313678","5115084","0","0",,,,,,
"Sub-Saharan Africa","1963","29639141","16165875","12.61","12.52",,,,,,
"Oceania","1963","1788680","940317","0","0",,,,,,
"Oceania (exc. Australia and New Zealand)","1963","438163","245290","0","0",,,,,,
"Australia and New Zealand","1963","1350517","695027","0","0",,,,,,
"Europe, Northern America, Australia and New Zealand","1963","78944522","40572738","0","0",,,,,,
"South-Eastern Asia and Oceania (exc. Australia and New Zealand)","1963","30644354","17079088","41.1","41.59",,,,,,
"World","1963","381978710","204844834","7.7","8.1",,,,,,
"Least developed countries","1964","34299087","18706984","32.71","32.99",,,,,,
"Landlocked developing countries","1964","18287766","9976762","6.84","6.72",,,,,,
"Small island developing States","1964","3608721","1967730","2.7","2.78",,,,,,
"Europe and Northern America","1964","78370564","40277485","0","0",,,,,,
"Northern America","1964","21799580","11431817","0","0",,,,,,
"Europe","1964","56570984","28845668","0","0",,,,,,
"Latin America and the Caribbean","1964","32170155","17414942","0","0",,,,,,
"Central and Southern Asia","1964","87375994","47389276","15.81","16.22",,,,,,
"Central Asia","1964","3356447","1890668","0","0",,,,,,
"Southern Asia","1964","84019547","45498608","16.44","16.9",,,,,,
"Eastern and South-Eastern Asia","1964","140861533","74051818","12.08","13.01",,,,,,
"Eastern Asia","1964","109376232","56580366","3.51","3.94",,,,,,
"South-Eastern Asia","1964","31485302","17471452","41.85","42.39",,,,,,
"Northern Africa and Western Asia","1964","18931721","10314270","0","0",,,,,,
"Western Asia","1964","9337104","5069321","0","0",,,,,,
"Northern Africa","1964","9594617","5244950","0","0",,,,,,
"Sub-Saharan Africa","1964","30506009","16656394","31.66","31.37",,,,,,
"Oceania","1964","1831120","966225","3.54","3.72",,,,,,
"Oceania (exc. Australia and New Zealand)","1964","453259","254909","14.31","14.11",,,,,,
"Australia and New Zealand","1964","1377861","711317","0","0",,,,,,
"Europe, Northern America, Australia and New Zealand","1964","79748424","40988802","0","0",,,,,,
"South-Eastern Asia and Oceania (exc. Australia and New Zealand)","1964","31938561","17726361","41.46","41.98",,,,,,
"World","1964","390047094","207070410","10.4","10.9",,,,,,
"Least developed countries","1965","35380519","19294248","32.88","33.12",,,,,,
"Landlocked developing countries","1965","18899688","10322739","6.79","6.64",,,,,,
"Small island developing States","1965","3715094","2024004","5.28","5.33",,,,,,
"Europe and Northern America","1965","79092801","40578506","0","0",,,,,,
"Northern America","1965","22249312","11590126","0","0",,,,,,
"Europe","1965","56843489","28988380","0","0",,,,,,
"Latin America and the Caribbean","1965","33148106","17923680","0.29","0.29",,,,,,
"Central and Southern Asia","1965","90057126","48643973","16","16.45",,,,,,
"Central Asia","1965","3533434","1989509","0","0",,,,,,
"Southern Asia","1965","86523693","46654464","16.65","17.15",,,,,,
"Eastern and South-Eastern Asia","1965","141133964","71898912","12.63","13.94",,,,,,
"Eastern Asia","1965","108425010","53812961","3.74","4.33",,,,,,
"South-Eastern Asia","1965","32708954","18085952","42.08","42.55",,,,,,
"Northern Africa and Western Asia","1965","19568298","10631178","0","0",,,,,,
"Western Asia","1965","9684500","5249279","0","0",,,,,,
"Northern Africa","1965","9883798","5381899","0","0",,,,,,
"Sub-Saharan Africa","1965","31425766","17168836","31.55","31.22",,,,,,
"Oceania","1965","1879693","995492","3.58","3.75",,,,,,
"Oceania (exc. Australia and New Zealand)","1965","469555","264613","14.32","14.09",,,,,,
"Australia and New Zealand","1965","1410138","730880","0","0",,,,,,
"Europe, Northern America, Australia and New Zealand","1965","80502939","41309386","0","0",,,,,,
"South-Eastern Asia and Oceania (exc. Australia and New Zealand)","1965","33178509","18350564","41.68","42.14",,,,,,
"World","1965","396305753","207840576","10.7","11.3",,,,,,
"Least developed countries","1966","36497387","19909302","35.89","36.07",,,,,,
"Landlocked developing countries","1966","19520280","10676904","6.71","6.56",,,,,,
"Small island developing States","1966","3824424","2081203","19.23","18.89",,,,,,
"Europe and Northern America","1966","79831542","40859785","0","0",,,,,,
"Northern America","1966","22668577","11732648","0","0",,,,,,
"Europe","1966","57162965","29127138","0","0",,,,,,
"Latin America and the Caribbean","1966","34142777","18433439","1.85","1.82",,,,,,
"Central and Southern Asia","1966","92681810","49891350","16.2","16.68",,,,,,
"Central Asia","1966","3702476","2085995","0","0",,,,,,
"Southern Asia","1966","88979334","47805355","16.87","17.41",,,,,,
"Eastern and South-Eastern Asia","1966","140706046","69620844","16.9","19",,,,,,
"Eastern Asia","1966","106814722","50967486","3.99","4.73",,,,,,
"South-Eastern Asia","1966","33891324","18653358","57.57","57.99","29.2156281267619","20.1418577958301","9.26028977064023","104260","75907","28353"
"Northern Africa and Western Asia","1966","20223001","10961009","0","0",,,,,,
"Western Asia","1966","10026015","5423382","0","0",,,,,,
"Northern Africa","1966","10196986","5537627","0","0",,,,,,
"Sub-Saharan Africa","1966","32399152","17709050","39.48","39.35",,,,,,
"Oceania","1966","1932210","1025938","3.6","3.75",,,,,,
"Oceania (exc. Australia and New Zealand)","1966","486443","274048","14.32","14.02",,,,,,
"Australia and New Zealand","1966","1445767","751890","0","0",,,,,,
"Europe, Northern America, Australia and New Zealand","1966","81277309","41611675","0","0",,,,,,
"South-Eastern Asia and Oceania (exc. Australia and New Zealand)","1966","34377767","18927406","56.96","57.36","29.1535541386809","20.0960900873864","9.24321656406314","105540","76846","28695"
"World","1966","401916536","208501413","13","13.9",,,,,,
"Least developed countries","1967","37653455","20552430","40.27","40.44",,,,,,
"Landlocked developing countries","1967","20152008","11031382","7.28","7.12",,,,,,
"Small island developing States","1967","3936557","2139356","19.11","18.76",,,,,,
"Europe and Northern America","1967","80406808","40951380","0","0",,,,,,
"Northern America","1967","22993271","11797323","0","0",,,,,,
"Europe","1967","57413537","29154057","0","0",,,,,,
"Latin America and the Caribbean","1967","35145518","18944066","1.83","1.8",,,,,,
"Central and Southern Asia","1967","95280090","51134834","16.41","16.92",,,,,,
"Central Asia","1967","3872677","2175161","0","0",,,,,,
"Southern Asia","1967","91407413","48959673","17.1","17.67",,,,,,
"Eastern and South-Eastern Asia","1967","141842781","69291558","17.42","19.72",,,,,,
"Eastern Asia","1967","106783038","50107003","4.16","4.94",,,,,,
"South-Eastern Asia","1967","35059743","19184555","57.81","58.32","28.2262457907431","19.3941091245473","9.00681583537161","103868","75142","28726"
"Northern Africa and Western Asia","1967","20898770","11323184","28.98","28.86",,,,,,
"Western Asia","1967","10373591","5613259","44.18","43.85",,,,,,
"Northern Africa","1967","10525180","5709925","14.01","14.12",,,,,,
"Sub-Saharan Africa","1967","33413330","18278266","39.8","39.64",,,,,,
"Oceania","1967","1980986","1052654","3.63","3.75",,,,,,
