"Region","Year","Under-five population","Infant population","Population coverage (under 5)","Population coverage (age 0)","U5MR median","IMR median","Under-five deaths median","Infant deaths median"
"Low and middle income","1998","259045211","53215991","100","100","88.419891331604","58.8856247932783","4818091","3229902"
"World","1998","301587808","61749252","100","100","80.7461056153575","53.7824741676784","5080202","3408108"
"Low income","1999","27750095","6124578","100","100","147.865704552515","87.9646024150482","926919","563626"
"Lower middle income","1999","136699470","28760897","100","100","100.594017278693","66.6409951742932","2980648","1989952"
"Upper middle income","1999","94490943","18405994","100","100","36.7139151566261","29.6300092734078","697773","557995"
"High income","1999","34710514","6866865","100","100","8.52114242670543","7.03750987290917","58860","48453"
"Low and middle income","1999","258940508","53291468","100","100","84.5256229492544","56.6931882728991","4605340","3111573"
"World","1999","301333298","61812617","100","100","77.2643242463058","51.8381839058735","4859656","3284866"
"Low income","2000","28360000","6264051","100","100","142.513214535216","85.0768583951412","913668","558351"
"Lower middle income","2000","137903196","29104846","100","100","96.9724162040295","64.7517570814459","2899993","1955786"
"Upper middle income","2000","93124586","18402351","100","100","34.8333591191063","28.0992144495795","658059","527700"
"High income","2000","34533628","6871055","100","100","8.2003895901186","6.77633659763535","56630","46707"
"Low and middle income","2000","259387781","53771248","100","100","81.5901743931063","54.8676718374199","4471720","3041837"
"World","2000","301748264","62320713","100","100","74.5928579874042","50.1657847127917","4718326","3210587"
"Low income","2001","28972584","6392409","100","100","140.107664005073","83.7116045717541","917206","560159"
