"Region","Year","Under.five.population","Infant.population","Population.coverage..under.5.","Population.coverage..age.0.","U5MR.median","IMR.median","Under.five.deaths.median","Infant.deaths.median"
"High income",1988,41477063,8308428,100,100,16.9378599484501,14.018030798306,142795,118279
"Low and middle income",1988,274681776,59035669,100,100,111.611303291032,78.1549406283238,6800824,4803713
"World",1988,321818296,68664893,100,100,102.112652212564,71.5452053216306,7194158,5091200
"Low income",1989,21857939,4980769,100,100,189.385021674227,113.347354840086,985348,602434
"Lower middle income",1989,132689178,28446706,100,100,131.622272377384,90.8960966882765,3918405,2724107
"Upper middle income",1989,124929829,25954630,100,100,61.1806201903752,49.9075901907437,1630746,1334332
"High income",1989,41413232,8267789,100,100,16.1702997000541,13.3830987924885,135806,112211
"Low and middle income",1989,279476946,59382104,100,100,106.484824559668,75.2445057406969,6534559,4660904
"World",1989,326801235,69011640,100,100,97.7053957126426,69.0979115342448,6925786,4945193
"Low income",1990,22389641,5092759,100,100,186.863982341818,111.987455920857,993562,609439
"Lower middle income",1990,134371873,28729753,100,100,128.626085228769,89.0560552064803,3863026,2692400
"Upper middle income",1990,127084739,26306678,100,100,59.6876184861396,48.7865684961389,1612754,1322457
"High income",1990,41250366,8219439,100,100,15.3822562301156,12.7217909818872,128858,106188
"Low and middle income",1990,283846253,60129190,100,100,104.235305505773,73.7440021857751,6469425,4624328
"World",1990,331249083,69752644,100,100,95.801470699531,67.8026176829937,6858044,4905515
"Low income",1991,22863224,5184612,100,100,190.255272412924,113.900681735089,1037876,633241
"Lower middle income",1991,135925939,28998460,100,100,125.634702948318,87.2611136162677,3805390,2659944
"Upper middle income",1991,127205850,25089399,100,100,58.2620955698064,47.8478101989818,1511162,1230106
"High income",1991,40958567,8091699,100,100,14.6838003579068,12.1535711647763,121665,99915
"Low and middle income",1991,285995012,59272471,100,100,103.768144591861,73.9453165825745,6354486,4523317
"World",1991,333352261,68815347,100,100,95.2690044762795,67.8371056439586,6739081,4800547
"Low income",1992,23434848,5305667,100,100,188.366232486764,112.89770964184,1048552,638513
"Lower middle income",1992,137355110,29220033,100,100,122.818973881438,85.5867240059408,3745126,2624266
"Upper middle income",1992,124641864,23233603,100,100,56.4736877065657,46.4865297550713,1376960,1110337
"High income",1992,40569695,7920159,100,100,14.0000192943394,11.5847051846085,113783,93121
"Low and middle income",1992,285431822,57759303,100,100,102.998404078323,72.9706030317198,6170699,4373152
"World",1992,332634309,67180023,100,100,94.5613565121313,67.0106180856461,6550069,4646135
"Low income",1993,24166879,5476437,100,100,185.634581111321,111.699911124134,1057870,646992
"Lower middle income",1993,138695759,29378373,100,100,120.075563956774,83.9425753973895,3679287,2584849
"Upper middle income",1993,121234022,22510648,100,100,54.6652103737597,45.053873506106,1292815,1043309
"High income",1993,40059964,7723907,100,100,13.3354873371555,11.0355694314359,105656,86203
"Low and middle income",1993,284096659,57365457,100,100,101.405875308238,71.8261198542581,6030028,4275176
"World",1993,331002000,66633348,100,100,93.2794673934546,66.1057595725942,6402574,4542745
"Low income",1994,24838157,5612482,100,100,179.680612127567,109.090796025429,1048022,648879
"Lower middle income",1994,139957384,29587911,100,100,117.332132197263,82.2970582509003,3615431,2549257
"Upper middle income",1994,117415677,22014998,100,100,52.6845786759371,43.4649555763132,1215297,984529
"High income",1994,39484073,7574048,100,100,12.803361660518,10.615818851671,98922,80728
"Low and middle income",1994,282211218,57215390,100,100,99.2969378055894,70.4683767030088,5878814,4182695
"World",1994,328751907,66370768,100,100,91.4572608829789,64.8971859003693,6243512,4444239
"Low income",1995,25510734,5755765,100,100,173.852110598818,106.409078777379,1040841,650578
"Lower middle income",1995,141192041,29827562,100,100,114.487766025444,80.5744753971599,3548849,2512647
"Upper middle income",1995,112882339,21629208,100,100,50.6822005251892,41.8268827996201,1140403,928862
"High income",1995,38801102,7462157,100,100,12.2910369027562,10.1794423107785,93262,76317
"Low and middle income",1995,279585113,57212535,100,100,97.051149018181,68.9925758211057,5730174,4092122
"World",1995,325646709,66289998,100,100,89.4901690905823,63.6217832991996,6086671,4347722
"Low income",1996,26301669,5921680,100,100,178.329234874862,109.14421208458,1094820,683411
"Lower middle income",1996,142341072,30006021,100,100,111.687021653855,78.8919440772967,3478008,2471521
"Upper middle income",1996,109177628,21262323,100,100,48.6239262791047,40.1285494960748,1069965,874795
"High income",1996,38065217,7362014,100,100,11.7636989228976,9.73447197150203,88007,72194
"Low and middle income",1996,277820368,57190024,100,100,95.9066890440796,68.0985482799412,5642856,4029758
"World",1996,323340987,66201091,100,100,88.407719943271,62.7614887607714,5990805,4279382
"Low income",1997,27049581,6040211,100,100,173.99449268599,107.064008440125,1089367,682793
"Lower middle income",1997,143426968,30175572,100,100,108.52522134826,76.9397486326369,3396602,2423295
"Upper middle income",1997,106885563,20840765,100,100,46.5500600680052,38.3789470294639,1003360,820011
"High income",1997,37421864,7307907,100,100,11.2857777774323,9.34390182917637,83432,68610
"Low and middle income",1997,277362112,57056548,100,100,93.533461768923,66.5068658905236,5489402,3926134
"World",1997,322422377,66045655,100,100,86.234877434662,61.3159418639788,5828550,4169782
"Low income",1998,27703214,6150187,100,100,176.465689538727,108.175996289941,1128311,702971
"Lower middle income",1998,144561348,30387088,100,100,105.339067580181,74.9365647091693,3316772,2374975
"Upper middle income",1998,104915619,20459587,100,100,44.4261046872851,36.6033400686969,940686,768512
"High income",1998,36933841,7278400,100,100,10.8609035507692,8.99229915029872,79570,65519
"Low and middle income",1998,277180180,56996862,100,100,91.8771110296359,65.2147207044199,5385848,3846499
"World",1998,321919983,65982332,100,100,84.6587160256171,60.0961522995141,5715490,4083807
"Low income",1999,28351445,6288517,100,100,162.592776215578,101.14175925273,1058093,671314
"Lower middle income",1999,145745620,30643082,100,100,102.175207850982,73.0769208502908,3240175,2333664
"Upper middle income",1999,103132523,20151981,100,100,42.3048139219171,34.8060604458985,881887,719812
"High income",1999,36599603,7242861,100,100,10.4480941885197,8.64152240160737,76176,62789
"Low and middle income",1999,277229588,57083579,100,100,88.3164722197274,63.0917534354052,5180225,3724822
"World",1999,321795187,66060666,100,100,81.4509395122771,58.1972415697002,5500924,3956320
"Low income",2000,28974055,6431063,100,100,157.048644068845,98.063539209569,1045075,666525
"Lower middle income",2000,147096809,31017596,100,100,98.4480266330555,70.6374435355423,3152966,2283094
"Upper middle income",2000,101792155,20188412,100,100,40.136517463263,32.9705959176247,833548,681406
"High income",2000,36409473,7249139,100,100,10.0633466698216,8.32599401413142,73349,60564
"Low and middle income",2000,277863019,57637070,100,100,85.1874711239551,60.8351188997252,5031677,3631064
"World",2000,322391879,66645724,100,100,78.5907840514282,56.1371354591227,5343564,3857210
"Low income",2001,29596280,6560251,100,100,154.373971992946,96.4518417030739,1048306,667989
"Lower middle income",2001,148694035,31425079,100,100,94.7529399808278,68.2407157185324,3067356,2232525
"Upper middle income",2001,100711385,20075621,100,100,38.053867734015,31.2233206491623,782126,638650
"High income",2001,36312607,7242759,100,100,9.762632340931,8.08440869880707,70827,58561
