"Region","Year","Under-five population","Infant population","Population coverage (under 5)","Population coverage (age 0)","U5MR median","IMR median","CMR median","Under-five deaths median","Infant deaths median","Child deaths median"
"Eastern and South-Eastern Asia","1963","87069133","46322602","10.3","9.86",,,,,,
"Eastern Asia","1963","66689201","35662623","0","0",,,,,,
"South-Eastern Asia","1963","20379933","10659979","44","42.84",,,,,,
"Northern Africa and Western Asia","1963","11624883","6233132","0","0",,,,,,
"Western Asia","1963","5861360","3062371","0","0",,,,,,
"Northern Africa","1963","5763523","3170761","0","0",,,,,,
"Sub-Saharan Africa","1963","21860813","11726114","12.56","12.57",,,,,,
"Oceania","1963","1274059","701566","0","0",,,,,,
"Oceania (exc. Australia and New Zealand)","1963","268656","141539","0","0",,,,,,
"Australia and New Zealand","1963","1005404","560027","0","0",,,,,,
"Europe, Northern America, Australia and New Zealand","1963","61629687","31242340","0","0",,,,,,
"South-Eastern Asia and Oceania (exc. Australia and New Zealand)","1963","20648588","10801518","43.43","42.28",,,,,,
"World","1963","258036832","135892078","8.2","8.2",,,,,,
"Least developed countries","1964","24568743","13197771","31.97","31.66",,,,,,
"Landlocked developing countries","1964","12528223","6715448","7.34","7.32",,,,,,
"Small island developing States","1964","2442913","1316726","0.85","0.79",,,,,,
"Europe and Northern America","1964","61475826","32443658","0","0",,,,,,
"Northern America","1964","16351968","9003684","0","0",,,,,,
"Europe","1964","45123858","23439974","0","0",,,,,,
"Latin America and the Caribbean","1964","21754167","11916775","0","0",,,,,,
"Central and Southern Asia","1964","55647159","29649226","17.23","17.21",,,,,,
"Central Asia","1964","1773390","904051","0","0",,,,,,
"Southern Asia","1964","53873769","28745175","17.79","17.75",,,,,,
"Eastern and South-Eastern Asia","1964","89805489","48716892","10.01","9.36",,,,,,
"Eastern Asia","1964","69035715","37748378","0","0",,,,,,
"South-Eastern Asia","1964","20769774","10968515","43.3","41.57",,,,,,
"Northern Africa and Western Asia","1964","11938685","6492364","0","0",,,,,,
"Western Asia","1964","6005359","3201875","0","0",,,,,,
"Northern Africa","1964","5933326","3290489","0","0",,,,,,
"Sub-Saharan Africa","1964","22364885","11978052","33.01","32.74",,,,,,
"Oceania","1964","1327074","731946","0","0",,,,,,
"Oceania (exc. Australia and New Zealand)","1964","275110","145325","0","0",,,,,,
"Australia and New Zealand","1964","1051964","586621","0","0",,,,,,
"Europe, Northern America, Australia and New Zealand","1964","62527790","33030279","0","0",,,,,,
"South-Eastern Asia and Oceania (exc. Australia and New Zealand)","1964","21044884","11113839","42.73","41.03",,,,,,
"World","1964","264313283","141928911","9.8","9.6",,,,,,
"Least developed countries","1965","25146323","13482223","31.87","31.4",,,,,,
"Landlocked developing countries","1965","12863151","7028514","7.3","7.1",,,,,,
"Small island developing States","1965","2496604","1355356","0.84","0.77",,,,,,
"Europe and Northern America","1965","62421160","34252732","0","0",,,,,,
"Northern America","1965","17056160","9437783","0","0",,,,,,
"Europe","1965","45365000","24814950","0","0",,,,,,
"Latin America and the Caribbean","1965","22535231","12408016","0","0",,,,,,
"Central and Southern Asia","1965","57186184","30847482","17.04","16.65",,,,,,
"Central Asia","1965","1835515","1039385","0","0",,,,,,
"Southern Asia","1965","55350669","29808097","17.6","17.23",,,,,,
"Eastern and South-Eastern Asia","1965","93152477","51737639","9.67","8.81",,,,,,
"Eastern Asia","1965","71888387","40371646","0","0",,,,,,
"South-Eastern Asia","1965","21264090","11365993","42.36","40.1",,,,,,
"Northern Africa and Western Asia","1965","12300155","6751957","0","0",,,,,,
"Western Asia","1965","6173103","3340880","0","0",,,,,,
"Northern Africa","1965","6127053","3411077","0","0",,,,,,
"Sub-Saharan Africa","1965","22903659","12239704","32.84","32.45",,,,,,
"Oceania","1965","1381801","759911","0","0",,,,,,
"Oceania (exc. Australia and New Zealand)","1965","282417","149568","0","0",,,,,,
"Australia and New Zealand","1965","1099384","610343","0","0",,,,,,
"Europe, Northern America, Australia and New Zealand","1965","63520544","34863075","0","0",,,,,,
"South-Eastern Asia and Oceania (exc. Australia and New Zealand)","1965","21546507","11515561","41.8","39.58",,,,,,
"World","1965","271880666","148997438","9.7","9.2",,,,,,
"Least developed countries","1966","25764436","13791854","36.32","35.72",,,,,,
"Landlocked developing countries","1966","13250684","7326332","7.25","6.97",,,,,,
"Small island developing States","1966","2557867","1396637","0.83","0.77",,,,,,
"Europe and Northern America","1966","63618996","35520282","0","0",,,,,,
"Northern America","1966","17745900","9760086","0","0",,,,,,
"Europe","1966","45873096","25760196","0","0",,,,,,
"Latin America and the Caribbean","1966","23350703","12907377","0","0",,,,,,
"Central and Southern Asia","1966","58951416","32144443","16.86","16.2",,,,,,
"Central Asia","1966","1938616","1167308","0","0",,,,,,
"Southern Asia","1966","57012801","30977135","17.43","16.81",,,,,,
"Eastern and South-Eastern Asia","1966","96913939","54766993","9.34","8.39",,,,,,
"Eastern Asia","1966","75101927","42972925","0","0",,,,,,
"South-Eastern Asia","1966","21812012","11794068","41.49","38.96",,,,,,
"Northern Africa and Western Asia","1966","12736497","7031334","0","0",,,,,,
"Western Asia","1966","6382697","3494218","0","0",,,,,,
"Northern Africa","1966","6353800","3537117","0","0",,,,,,
"Sub-Saharan Africa","1966","23467496","12515495","37.64","37.14",,,,,,
"Oceania","1966","1435537","781864","0","0",,,,,,
"Oceania (exc. Australia and New Zealand)","1966","289745","153709","0","0",,,,,,
"Australia and New Zealand","1966","1145792","628155","0","0",,,,,,
"Europe, Northern America, Australia and New Zealand","1966","64764788","36148436","0","0",,,,,,
"South-Eastern Asia and Oceania (exc. Australia and New Zealand)","1966","22101757","11947777","40.95","38.45",,,,,,
"World","1966","280474582","155667786","9.9","9.3",,,,,,
"Least developed countries","1967","26422637","14131390","36.25","35.6",,,,,,
"Landlocked developing countries","1967","13689788","7597338","7.19","6.9",,,,,,
"Small island developing States","1967","2626608","1439393","0.82","0.78",,,,,,
"Europe and Northern America","1967","65215032","36076166","0","0",,,,,,
"Northern America","1967","18382561","9928550","0","0",,,,,,
"Europe","1967","46832471","26147617","0","0",,,,,,
"Latin America and the Caribbean","1967","24198047","13402380","0","0",,,,,,
"Central and Southern Asia","1967","60941298","33543770","16.67","15.84",,,,,,
"Central Asia","1967","2072137","1273956","0","0",,,,,,
"Southern Asia","1967","58869161","32269815","17.26","16.47",,,,,,
"Eastern and South-Eastern Asia","1967","101463856","57874694","9.01","8.1",,,,,,
"Eastern Asia","1967","78996781","45583744","0","0",,,,,,
"South-Eastern Asia","1967","22467075","12290950","40.71","38.12",,,,,,
"Northern Africa and Western Asia","1967","13248231","7337084","0","0",,,,,,
"Western Asia","1967","6634443","3663919","0","0",,,,,,
"Northern Africa","1967","6613788","3673165","0","0",,,,,,
"Sub-Saharan Africa","1967","24060206","12820884","37.45","36.87",,,,,,
"Oceania","1967","1486138","794388","0","0",,,,,,
"Oceania (exc. Australia and New Zealand)","1967","296839","157811","0","0",,,,,,
"Australia and New Zealand","1967","1189300","636577","0","0",,,,,,
"Europe, Northern America, Australia and New Zealand","1967","66404331","36712743","0","0",,,,,,
